depth,train_acc,test_acc,cv_mean
1,0.7695121951219512,0.7219512195121951,0.76
2,0.7695121951219512,0.7219512195121951,0.7365853658536585
3,0.8451219512195122,0.8536585365853658,0.8302439024390245
4,0.8853658536585366,0.8390243902439024,0.8341463414634147
5,0.9292682926829269,0.8731707317073171,0.8907317073170733
6,0.9658536585365853,0.9219512195121952,0.9502439024390243
7,0.9914634146341463,0.9512195121951219,0.9717073170731707
8,0.9975609756097561,0.975609756097561,0.9873170731707317
9,1.0,0.9853658536585366,0.9980487804878049
10,1.0,0.9853658536585366,1.0
11,1.0,0.9853658536585366,1.0
12,1.0,0.9853658536585366,1.0
